param_id,smirks,ff_equilibrium,Training_n,Training_mean,Training_std,Training_min,Training_q1,Training_median,Training_q3,Training_max,Training_iqr,Training_whisker_low,Training_whisker_high,Validation_n,Validation_mean,Validation_std,Validation_min,Validation_q1,Validation_median,Validation_q3,Validation_max,Validation_iqr,Validation_whisker_low,Validation_whisker_high,Sage 2.3.0 Train_n,Sage 2.3.0 Train_mean,Sage 2.3.0 Train_std,Sage 2.3.0 Train_min,Sage 2.3.0 Train_q1,Sage 2.3.0 Train_median,Sage 2.3.0 Train_q3,Sage 2.3.0 Train_max,Sage 2.3.0 Train_iqr,Sage 2.3.0 Train_whisker_low,Sage 2.3.0 Train_whisker_high
a0,[*:1]~[#6X4:2]-[*:3],109.65055236925323,25451191,110.02199839395725,4.039976719695017,72.01538883351193,107.66876513496493,109.99388174031205,112.3601855501415,153.2612765317472,4.691420415176566,100.63163451220008,119.39731617290634,1380400,110.08016543411696,4.139286237674591,75.77739556213052,107.67436836397845,110.0444893939771,112.47628022056338,144.62250703202375,4.801911856584937,100.47150057910105,119.6791480054408,49203,110.08672637995575,2.6560161744351882,88.64479982521345,108.64468439939515,109.882492237988,111.29035686953992,144.05662361021942,2.645672470144774,104.67617569417799,115.25886557475708
a1,[#15:1]~[#6X4:2]-[#15:3],120.81877909624868,300,94.0540075491551,2.963237361053346,84.8510550944673,92.36854114976992,93.76094442351663,95.76590923601006,104.16190143859984,3.397368086240135,87.27248902040972,100.86196136537026,150,105.99265497206501,8.410032771444472,87.94665758530374,96.49989499019883,109.79401959070168,112.36340992094497,118.11886217437507,15.863514930746149,87.94665758530374,118.11886217437507,2,112.62802767947606,9.620443112963144,103.00758456651292,107.81780612299448,112.62802767947606,117.43824923595764,122.2484707924392,9.620443112963159,103.00758456651292,122.2484707924392
a2,[#1:1]-[#6X4:2]-[#1:3],108.00500270384624,7597655,107.97581890197858,4.016356926606144,76.36477182940789,105.79632764636537,108.03425639190081,110.21668309178048,135.562282688975,4.420355445415112,99.1657944782427,116.84721625990315,371071,107.94139438863651,3.9745841864877747,84.01413532767928,105.7748071164861,107.9986565435048,110.15234187908355,130.54497542946663,4.377534762597449,99.20850497258994,116.71864402297973,11915,108.29836535008364,1.6887380980919888,98.16556366797445,107.13521260269556,108.13990866032144,109.35390623070288,116.25076928099283,2.2186936280073155,103.80717216068459,112.68194667271385
a3,[*:1]~[#6X3:2]~[*:3],122.8898153960016,17696778,120.15276896578791,3.5510921726314684,81.26151621376795,118.12409215619323,120.10576785006836,122.10872706379223,160.97412417952242,3.984634907599002,112.14713979479473,128.08567942519073,609210,120.37755961365167,4.036828373171404,82.47869059546981,118.15783962043366,120.24127667375149,122.42759583950992,150.59682004367755,4.269756219076257,111.75320529181928,128.8322301681243,15372,120.59613864235317,3.7435077184365073,85.95545806349003,119.10315711076643,120.2020579720485,122.19648148193473,148.40985400354927,3.0933243711682934,114.463170554014,126.83646803868717
a4,[*:1]~[#6X3:2](=[#8])-[#8X2:3],115.73166786280152,207276,117.54453586828687,3.3746448253803005,100.36593145707226,115.50800935529844,117.59439439415132,119.67393072582898,134.29409903052468,4.1659213705305405,109.25912729950264,125.9228127816248,5900,117.61079125224258,3.370924768581216,103.69514508286186,115.63958703642925,117.68127882311279,119.63686175992568,132.57228971679777,3.9972747234964316,109.64367495118461,125.63277384517033,276,111.242758989709,2.849650838247958,106.27031155234867,109.53248557920402,110.60402636766054,111.96022149665902,128.8057682593465,2.4277359174549957,106.27031155234867,115.60182537284152
a5,[#1:1]-[#6X3:2]~[*:3],117.82596778686751,9847640,119.56430739925663,3.9664208267439576,92.90779766041634,117.34762583729531,119.6142852944458,121.82267062253695,148.4553260924501,4.475044785241636,110.63505865943286,128.5352378003994,303248,119.35576125481077,4.083980315981987,97.12420775357384,117.04980665561044,119.42280883961799,121.69994875261932,143.0737594265152,4.650142097008882,110.07459351009712,128.67516189813264,11897,119.56969712486043,2.149701032112587,107.38592271129043,119.09102379322705,119.93222326251463,120.53832408463056,137.76643574030072,1.4473002914035078,116.92007335612179,122.70927452173582
a6,[#1:1]-[#6X3:2](=[#8])-[#7:3],111.51176525770336,4300,119.3653767475254,4.165577511690143,99.65148070779395,117.1038505716531,119.41136099986599,121.74909256966356,140.65446607656327,4.645241998010462,110.1359875746374,128.71695556667925,450,119.45188065814979,4.180257046081024,104.57665563406049,117.10545227612042,119.70054783546361,121.8159233136551,138.9035122394506,4.710471037534688,110.03974571981838,128.88162986995712,32,111.93119335997619,1.503082501225135,109.62634481226407,111.0203554473533,111.83648618198649,112.37469912511354,117.83023306958125,1.354343677760241,109.62634481226407,114.4062146417539
a7,[#1:1]-[#6X3:2]-[#1:3],112.06684107117196,48489,116.92423168095937,4.856930282614053,89.45168238709851,114.25941763913156,116.95977499506765,119.6073196636715,142.24683155269864,5.347902024539948,106.23756460232164,127.62917270048143,4000,117.10779964713808,4.939074705265893,97.31506725929246,114.48245846561389,117.20727236587996,119.75245274192581,135.6696313038778,5.26999427631192,106.57746705114602,127.6574441563937,353,117.36132292804322,1.7635088743718739,113.25668565188683,116.66376670757039,117.67039596582099,118.48859441541255,122.82225865492589,1.8248277078421609,113.92652514580715,121.22583597717579
a8,"[*;r6:1]~;@[*;r5;x4,*;r5;X4:2]~;@[*;r5;x2:3]",110.8116806056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9,[*:1]~;!@[*;X3;r5:2]~;@[*;r5:3],126.56094645223507,3309063,124.78777401458845,4.374573222920068,90.61405185435353,122.1780955174383,124.87073657396684,127.50532453927585,152.1151421316023,5.327229021837553,114.18725198468196,135.49616807203216,145072,124.73398227155099,4.354651395873133,97.60978071816133,122.13919479122808,124.82684989111956,127.4389589956493,150.20343658723306,5.299764204421223,114.18954848459624,135.38860530228112,5351,124.78628017778817,4.097170478318541,112.45871515122408,122.08463862667078,124.57531412274899,127.69894249768798,140.85694680330184,5.614303871017199,113.66318282014498,136.12039830421378
