smirks,k_kJ_mol_per_A2,length_A,cluster
[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],3180.8905966796874,1.0914485454559326,1
[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r6:2],3458.3543544921877,1.0812537670135498,1
[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r6:2],3138.011491699219,1.0935728549957275,1
[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],2122.4817321777346,1.5183680057525635,58
[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r5:2],3142.3407978515625,1.0920841693878174,1
[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],4287.42529296875,1.0123867988586426,2
[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],6202.468447265625,1.211145281791687,11
[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r5:2],3478.640778808594,1.0903083086013794,1
[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],2653.040333496094,1.4480880498886108,51
[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],2531.3858857421874,1.4295952320098877,-1
[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],2026.9014392089844,1.5182329416275024,57
[#6X3;r6:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],2415.76764453125,1.499259352684021,-1
[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],3542.1594863281252,1.3617583513259888,-1
[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],4634.416895507813,0.9693056344985962,-1
[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:2],3339.3565322265626,1.0927350521087646,1
[#6X3;r6:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],3337.4966645507816,1.3683544397354126,27
[#6X3;r6:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],3182.345956542969,1.3998006582260132,27
[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#9X1;!r3;!r4;!r5;!r6;!r7;!r8:2],2961.7004794921877,1.3409826755523682,27
[#6X3;r6:1]~[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],6778.7572441406255,1.1996244192123413,11
[#6X3;r5:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],2570.0901840820316,1.5109505653381348,-1
[#17X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r6:2],2096.3480759277345,1.748051404953003,-1
[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r3:2],3206.3449658203126,1.0873303413391113,1
[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r6:2],640.1658538818359,1.4963711500167847,-1
[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],3097.238942871094,1.3500803709030151,27
[#16X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],5015.949481445313,1.437515377998352,5
[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;r5:2],4208.903533691407,1.0070502758026123,2
[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:2],166.38679672241213,0.5942203998565674,-1
[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r7:2],3203.2978779296877,1.094441294670105,1
[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r6:2],2005.56812109375,1.5197221040725708,57
[#6X3;r6:1]~[#9X1;!r3;!r4;!r5;!r6;!r7;!r8:2],3285.30826171875,1.3571614027023315,27
[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;r5:2],2570.3445336914065,1.4484819173812866,51
[#6X3;r5:1]~[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],6725.615030273438,1.205061912536621,11
[#6X3;r5:1]~[#6X3;r6:2],2482.856950683594,1.484386682510376,-1
[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r5:2],0.0,1.4515550136566162,-1
[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r5:2],2031.2150400390626,1.516057014465332,57
[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;r6:2],4406.243333984376,1.0182231664657593,2
[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r4:2],3232.2743251953125,1.0912928581237793,1
[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;r6:2],2623.985998046875,1.4638433456420898,-1
[#16X2;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],1541.2909594726564,1.8316872119903564,39
[#6X2;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X1;!r3;!r4;!r5;!r6;!r7;!r8:2],10921.507662109376,1.1494139432907104,-1
[#6X3;r5:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],3548.454383789063,1.4068279266357422,-1
[#6X3;r6:1]~[#6X3;r6:2],2634.1053330078125,1.4839537143707275,-1
[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],5213.84216015625,1.2066432237625122,11
[#6X3;r6:1]~[#7X3;r5:2],3191.0617719726565,1.4191124439239502,-1
[#35X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r6:2],1715.0472392578126,1.9117311239242554,-1
[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X2;!r3;!r4;!r5;!r6;!r7;!r8:2],1791.1479528808595,1.2087342739105225,-1
[#6X4;r6:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],1835.997884277344,1.4134279489517212,45
[#16X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r6:2],1244.1022106933594,1.8229025602340698,41
[#16X2;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r6:2],2135.9060798339847,1.7899657487869263,31
[#6X2;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r6:2],2858.0581210937503,1.4352834224700928,-1
[#17X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],1583.0134887695312,1.7766696214675903,34
[#16X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],2439.3105610351563,1.713715672492981,-1
[#6X3;r6:1]~[#7X3;r6:2],2862.937241210938,1.4067291021347046,-1
[#15X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],3832.551405761719,1.6373358964920044,-1
[#6X2;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],2762.451524902344,1.469276785850525,-1
[#6X3;r6:1]~[#7X2;!r3;!r4;!r5;!r6;!r7;!r8:2],56.897924621582035,0.9894953370094299,-1
[#6X4;r5:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],2539.8292202148436,1.4162918329238892,46
[#16X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],1325.7674604492188,1.841733455657959,42
[#6X2;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X2;!r3;!r4;!r5;!r6;!r7;!r8:2],3069.379744140625,1.1781409978866577,-1
[#6X3;r6:1]~[#6X4;r6:2],2253.7681391601564,1.5090744495391846,59
[#6X3;r5:1]~[#6X3;r5:2],1105.0751228027343,1.508193016052246,-1
[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;r5:2],2752.244086914063,1.3767770528793335,27
[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;r6:2],2910.62575,1.352294683456421,27
[#6X4;r6:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],2535.1745712890624,1.4522182941436768,51
[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r6:2],2019.0532470703126,1.5219380855560303,57
[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r5:2],1893.7536323242189,1.526569128036499,-1
[#16X2;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r5:2],2090.321062744141,1.7847011089324951,31
[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r3:2],2143.6048798828124,1.4972511529922485,56
[#6X3;r5:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],3572.4329633789066,1.3658419847488403,27
