smirks,k_kJ_mol_per_rad2,angle_deg,cluster
[*:1]~[#6X4:2]~[*:3],358.03764727783204,109.46048186503012,5
[*:1]~[#7X3:2]~[*:3],333.2305480957031,109.51399639717717,5
[*:1]~[#6X3:2]~[*:3],282.58621466064454,125.42393852148139,5
[*:1]~[#16X4:2]~[*:3],367.8920028076172,143.39055988790318,5
[*:1]~[#8X2:2]~[*:3],537.3657093505859,109.87628329113298,5
[*:1]~[#7X4:2]~[*:3],395.4080147094727,114.51664551134795,5
[*:1]~[#16X2:2]~[*:3],306.3895777587891,91.91042690589825,5
[*:1]~[#15X4:2]~[*:3],774.1985216064453,110.97722099287982,5
[*:1]~[#7X2:2]~[*:3],38.77455731201172,17.33356699074644,-1
[*:1]~[#16X3:2]~[*:3],550.4168321533203,104.00197909546351,5
[*:1]~[#15X3:2]~[*:3],237.51548303222657,8.382733857038962,1
[*:1]~[#15X5:2]~[*:3],535.6258660888672,163.82550233734085,-1
[*:1]~[#6X2:2]~[*:3],287.4383612060547,180.00000500895632,2
[*:1]~[#15X2:2]~[*:3],339.60486596679686,77.81840110089544,-1
[!#1;r3:1]~[#7X3;r5:2]~[!#1;r5:3],492.2362423706055,110.47042095646488,5
[!#1;r4:1]~[#6X3;r6:2]~[!#1;r6:3],124.33915608215332,124.16495707252962,-1
[!#1;r3:1]~[#6X4;r5:2]~[!#1;r6:3],359.82917126464844,109.08605772491919,5
[!#1;r3:1]~[#6X4;r5:2]~[!#1;r5:3],498.23123840332033,101.22171644286398,5
[!#1;r5:1]~[#6X4;r3:2]~[!#1;r5:3],12.254606395721437,92.55884408456423,-1
[!#1;r5:1]~[#6X4;r3:2]~[!#1;r6:3],299.44766571044926,122.64346413301757,5
[!#1;r3:1]~[#6X4;r6:2]~[!#1;r6:3],513.31837109375,106.46077889477641,5
[!#1;r5:1]~[#6X3;r7:2]~[!#1;r6:3],347.2508999633789,116.79187714652757,5
[!#1;r6:1]~[#7X4;r6:2]~[!#1;r6:3],582.7869058837891,117.40058360535912,5
[!#1;r5:1]~[#7X3;r7:2]~[!#1;r7:3],572.73198828125,113.22655938091594,5
[!#1;r5:1]~[#6X4;r7:2]~[!#1;r5:3],719.9918571777345,109.89474529245953,5
[!#1;r4:1]~[#7X3;r4:2]~[!#1;r5:3],495.15931567382813,115.18645484249441,5
[!#1;r5:1]~[#6X4;r4:2]~[!#1;r6:3],397.22967248535156,111.88685875635295,5
[!#1;r3:1]~[#7X3;r6:2]~[!#1;r6:3],428.27912652587895,94.27380896250605,5
[!#1;r3:1]~[#7X3;r3:2]~[!#1;r5:3],491.4740554199219,106.91189239888824,5
[!#1;r5:1]~[#6X4;r5:2]~[!#1;r8:3],356.051658203125,108.52102349564072,5
[!#1;r4:1]~[#6X4;r6:2]~[#1;!r3;!r4;!r5;!r6;!r7;!r8:3],354.4461401367188,102.37018543104494,5
[#6X3;r5:1]~[#6X3;r6:2]~[#6X4;r3:3],585.7009454345704,122.15700439995094,5
