smirks,k_kJ_mol_per_A2,length_A,cluster
[#6X3:1]~[#9X1:2],2938.936444824219,1.3235163688659668,15
[#15X5:1]~[#9X1:2],1834.0388049316407,1.5893540382385254,15
[#35X1:1]~[#7X3:2],912.2479212646484,1.786315679550171,-1
[#15X3:1]~[#16X1:2],1925.0877932128908,1.8673328161239624,-1
[#16X3:1]~[#17X1:2],1020.9553099365235,2.0974936485290527,8
[#16X3:1]~[#6X3:2],1354.2539782714844,1.7873700857162476,23
[#17X1:1]~[#7X3:2],955.2902722167969,1.6418603658676147,-1
[#15X4:1]~[#6X4:2],1482.5151182865595,1.85338894597,21
[#15X4:1]~[#17X1:2],1383.8779189453126,2.0128684043884277,9
[#16X4:1]~[#6X3:2],1475.903190917969,1.8135652542114258,24
[#15X5:1]~[#6X4:2],1159.858734375,1.9265233278274536,10
[#15X5:1]~[#53X1:2],585.76,2.6,-1
[#15X5:1]~[#6X3:2],1126.1586879882814,1.783499002456665,-1
[#7X3:1]~[#8X2:2],2757.0866889648437,1.396313190460205,15
[#15X4:1]~[#16X2:2],1274.129126953125,2.118361234664917,8
[#35X1:1]~[#6X2:2],1474.7005207519533,1.761559009552002,20
[#15X3:1]~[#8X1:2],5622.114653320313,1.4567726850509644,6
[#1X1:1]~[#7X4:2],4006.953263671875,1.0286473035812378,1
[#16X2:1]~[#35X1:2],1172.0086525878908,2.1913087368011475,-1
[#15X3:1]~[#1X1:2],1983.464220703125,1.3550251722335815,15
[#15X3:1]~[#6X2:2],1127.2460581054688,1.5667451620101929,14
[#16X4:1]~[#7X2:2],2294.0950654296876,1.5819858312606812,-1
[#35X1:1]~[#6X3:2],1724.2859270019533,1.8961964845657349,-1
[#15X3:1]~[#17X1:2],961.5510776367188,2.3514459133148193,-1
[#53X1:1]~[#6X3:2],542.9201583251953,1.9690182209014893,7
[#15X4:1]~[#6X2:2],1535.7142932128907,1.8013415336608887,24
[#17X1:1]~[#7X2:2],1015.5654476318359,1.748094916343689,-1
[#7X3:1]~[#9X1:2],2281.135237792969,1.37428617477417,15
[#53X1:1]~[#7X3:2],1092.2257431640626,1.9584269523620605,10
[#15X3:1]~[#53X1:2],585.76,2.6,-1
[#16X4:1]~[#6X2:2],1018.2423112792969,1.5506727695465088,14
[#7X2:1]~[#9X1:2],2274.7616860351563,1.4053353071212769,15
[#15X3:1]~[#35X1:2],1196.0245163574218,2.3737692832946777,-1
[#15X2:1]~[#6X4:2],1693.5023461914063,1.9310193061828613,-1
[#15X2:1]~[#7X2:2],3516.8322919921875,1.5576801300048828,-1
[#15X5:1]~[#16X2:2],1197.863618802828,2.127725374427,8
[#16X3:1]~[#7X4:2],1555.4939335937502,2.0459370613098145,9
[#16X3:1]~[#1X1:2],2094.3660131835936,1.454825758934021,15
[#16X2:1]~[#16X4:2],1373.3764211425782,2.1053318977355957,8
[#35X1:1]~[#7X2:2],896.5857567138672,1.8533296585083008,-1
[#15X5:1]~[#1X1:2],2007.1884506835938,1.459592580795288,15
[#17X1:1]~[#6X4:2],1775.8780383300782,1.814431071281433,22
