smirks,k_kJ_mol_per_rad2,angle_deg,cluster
[*:1]~[#6X4:2]~[*:3],355.8866246337891,109.63389353786756,2
[*:1]~[#7X3:2]~[*:3],334.73915283203127,109.56372700452403,2
[*:1]~[#6X3:2]~[*:3],293.0361594238281,123.94032581110623,2
[*:1]~[#16X4:2]~[*:3],420.88737829589843,130.57063632524773,2
[*:1]~[#8X2:2]~[*:3],537.9077983398438,109.9370036728544,2
[*:1]~[#7X4:2]~[*:3],336.46258850097655,114.13071250248555,2
[*:1]~[#16X2:2]~[*:3],356.3649666137695,93.11136540728324,2
[*:1]~[#15X4:2]~[*:3],776.4623225097656,109.32079766631419,2
[*:1]~[#7X2:2]~[*:3],51.28039499664307,46.68682233570587,-1
[*:1]~[#16X3:2]~[*:3],546.4290848388672,103.99443173643066,2
[*:1]~[#15X3:2]~[*:3],273.8113765869141,30.399870844689868,1
[*:1]~[#15X5:2]~[*:3],520.8691197509766,163.65328594760814,-1
[*:1]~[#6X2:2]~[*:3],292.7383648071289,180.00000500895632,3
[*:1]~[#15X2:2]~[*:3],436.37375177001957,95.47176950141294,2
[!#1;r3:1]~[#7X3;r5:2]~[!#1;r5:3],493.33203973388675,110.60250998482375,2
[!#1;r4:1]~[#6X3;r6:2]~[!#1;r6:3],152.7020184326172,122.79372829475786,2
[!#1;r3:1]~[#6X4;r5:2]~[!#1;r6:3],358.0206651000977,109.20016969538258,2
[!#1;r3:1]~[#6X4;r5:2]~[!#1;r5:3],546.8065871582031,103.38082803196421,2
[!#1;r5:1]~[#6X4;r3:2]~[!#1;r5:3],10.785923343658448,91.41092834170604,-1
[!#1;r5:1]~[#6X4;r3:2]~[!#1;r6:3],278.9152551879883,123.2432230440364,2
[!#1;r3:1]~[#6X4;r6:2]~[!#1;r6:3],510.9540816650391,106.5755533935893,2
[!#1;r5:1]~[#6X3;r7:2]~[!#1;r6:3],326.221026550293,115.16507635039228,2
[!#1;r6:1]~[#7X4;r6:2]~[!#1;r6:3],590.9829134521484,116.34944481285083,2
[!#1;r5:1]~[#7X3;r7:2]~[!#1;r7:3],575.7369399414063,113.16381043301104,2
[!#1;r5:1]~[#6X4;r7:2]~[!#1;r5:3],718.7349844970703,109.9743579774252,2
[!#1;r4:1]~[#7X3;r4:2]~[!#1;r5:3],501.53009027099614,115.24826805448303,2
[!#1;r5:1]~[#6X4;r4:2]~[!#1;r6:3],402.1079626464844,111.93592000516117,2
[!#1;r3:1]~[#7X3;r6:2]~[!#1;r6:3],440.88462677001957,94.78117590462212,2
[!#1;r3:1]~[#7X3;r3:2]~[!#1;r5:3],500.9495040893555,107.0078838774836,2
[!#1;r5:1]~[#6X4;r5:2]~[!#1;r8:3],349.44479302978516,108.84665276432106,2
[!#1;r4:1]~[#6X4;r6:2]~[#1;!r3;!r4;!r5;!r6;!r7;!r8:3],354.98701611328124,102.54322827366721,2
[#6X3;r5:1]~[#6X3;r6:2]~[#6X4;r3:3],581.591896850586,122.09454915018033,2
[#6X3;r5:1]~[#6X3;r7:2]~[#6X3;r5:3],0.0,98.07726810371936,0
[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;!r3;!r4;!r5;!r6;!r7;!r8:3],658.0878610839844,106.72964246126479,2
[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;!r3;!r4;!r5;!r6;!r7;!r8:3],371.2055385131836,123.03371382143543,2
[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;!r3;!r4;!r5;!r6;!r7;!r8:3],310.0297330932617,98.48804251059309,2
[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#15X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;!r3;!r4;!r5;!r6;!r7;!r8:3],471.7331676025391,105.81447907475312,2
[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#15X3;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;!r3;!r4;!r5;!r6;!r7;!r8:3],282.8591744384766,17.81499287439479,-1
[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r3:2]~[!#1;!r3;!r4;!r5;!r6;!r7;!r8:3],389.3445792236328,116.44039561183872,2
[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r5:2]~[!#1;!r3;!r4;!r5;!r6;!r7;!r8:3],802.9880372314453,108.5729124427653,2
[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r5:3],602.9329399414063,106.21322551849846,2
[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r7:3],302.4363693847656,132.77736116305215,2
[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r6:2]~[!#1;!r3;!r4;!r5;!r6;!r7;!r8:3],720.0190541992188,105.31782869944482,2
[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#16X2;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;!r3;!r4;!r5;!r6;!r7;!r8:3],327.1339462890625,99.10444659261924,2
[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r6:3],783.1222091064453,107.6857050205265,2
[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r6:3],220.69187478637696,93.29009779748414,2
[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X2;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;!r3;!r4;!r5;!r6;!r7;!r8:3],234.54363385009768,180.00000500895632,3
