smirks,k_kJ_mol_per_A2,length_A,cluster
[#15X4:1]~[#8X2:2],2723.8899790039063,1.6317927837371826,18
[#15X3:1]~[#8X2:2],2019.912953857422,1.6896055936813354,21
[#6X2:1]~[#6X3:2],1773.054655517578,1.4051387310028076,16
[#16X2:1]~[#7X3:2],2356.6849882812503,1.687471628189087,22
[#15X5:1]~[#7X3:2],1508.5361691894532,1.7305958271026611,-1
[#16X3:1]~[#7X2:2],1136.6868720703126,1.7074545621871948,-1
[#6X2:1]~[#6X4:2],2600.460446777344,1.468034267425537,28
[#16X2:1]~[#8X2:2],2312.45471484375,1.6725163459777832,22
[#16X2:1]~[#16X3:2],1314.333602783203,2.139388084411621,6
[#15X4:1]~[#7X3:2],2047.7753447265625,1.6650850772857666,-1
[#7X2:1]~[#8X2:2],1687.9841599121094,1.4132890701293945,16
[#16X2:1]~[#6X3:2],2001.2158315429688,1.7663652896881104,23
[#7X2:1]~[#7X2:2],4539.343258789063,1.191281795501709,-1
[#53X1:1]~[#6X4:2],1011.3347785644531,2.156684398651123,6
[#15X4:1]~[#9X1:2],2340.0330053710936,1.5759608745574951,-1
[#15X4:1]~[#16X1:2],2454.915267089844,1.9178428649902344,-1
[#16X3:1]~[#6X4:2],1201.1053349892654,1.8469075286754442,-1
[#16X3:1]~[#8X1:2],4901.92577734375,1.4805182218551636,9
[#6X4:1]~[#7X4:2],1770.1314003271905,1.455998757608,-1
[#15X3:1]~[#6X4:2],1423.386380859375,1.8118276596069336,34
[#7X4:1]~[#8X1:2],5088.321649414062,1.3617403507232666,13
[#6X3:1]~[#8X1:2],6869.146353515625,1.2093675136566162,11
[#35X1:1]~[#6X4:2],1200.6204299316407,1.9314734935760498,10
[#16X3:1]~[#8X2:2],1445.4346103515625,1.6632144451141357,15
[#6X4:1]~[#9X1:2],3215.282698730469,1.3753715753555298,19
[#16X2:1]~[#7X2:2],464.9200902709961,1.9098374843597412,-1
[#6X4:1]~[#8X1:2],1849.657811767578,1.288194179534912,-1
[#15X4:1]~[#8X1:2],5195.308347656251,1.4506316184997559,8
[#16X2:1]~[#17X1:2],1324.723375732422,2.0330944061279297,7
[#8X2:1]~[#8X2:2],2167.5385141601564,1.4408031702041626,32
[#16X4:1]~[#8X2:2],505.1705328979492,1.61351478099823,-1
[#15X3:1]~[#6X3:2],1482.515118286559,1.85338894597,-1
[#1X1:1]~[#6X3:2],3259.602862792969,1.0842139720916748,2
[#16X4:1]~[#6X4:2],1663.9984299316407,1.788857340812683,-1
[#7X3:1]~[#7X4:2],2719.090023925781,1.433122158050537,-1
[#6X4:1]~[#7X2:2],1770.1314003271905,1.4559987576080002,-1
[#16X2:1]~[#8X1:2],4849.118610351563,1.486253023147583,9
[#6X2:1]~[#8X1:2],6439.351184570312,1.1637462377548218,11
[#15X5:1]~[#8X2:2],2155.091794135076,1.6334633569129997,-1
[#6X3:1]~[#7X2:2],5079.54148046875,1.2515987157821655,12
[#16X4:1]~[#1X1:2],2305.3467158203125,1.3594694137573242,19
[#16X3:1]~[#7X3:2],1652.3863232421875,1.7137951850891113,-1
[#6X4:1]~[#8X2:2],2645.8626181640625,1.4267263412475586,31
[#7X3:1]~[#8X1:2],5506.609796875,1.2650760412216187,12
[#15X3:1]~[#16X2:2],1483.243322265625,2.141374111175537,6
[#53X1:1]~[#6X2:2],834.4594600830078,1.8592339754104614,-1
[#6X3:1]~[#8X2:2],3001.0360551757813,1.2918344736099243,-1
[#7X4:1]~[#8X2:2],2416.953332519531,1.4113800525665283,29
[#6X2:1]~[#6X2:2],10240.345107421876,1.2032450437545776,-1
[#1X1:1]~[#7X3:2],3713.586270996094,1.0125004053115845,-1
[#15X4:1]~[#7X2:2],3570.154287109375,1.5533157587051392,-1
[#16X1:1]~[#6X3:2],2923.8728701171876,1.6343284845352173,-1
[#7X2:1]~[#7X3:2],346.83059106445313,1.1247470378875732,-1
[#15X4:1]~[#35X1:2],981.6503787841797,2.225116729736328,-1
[#17X1:1]~[#6X2:2],1677.2535942382813,1.60544753074646,-1
