smirks,k_kJ_mol_per_rad2,angle_deg,cluster
[*:1]~[#6X4:2]-[*:3],525.9169443969727,109.45546850617933,-1
[#1:1]-[#6X4:2]-[#1:3],326.503977722168,107.57199603122412,-1
[#6r4:1]-;@[#6r4:2]-;@[#6r4:3],643.620514038086,90.0077615993753,-1
[!#1:1]-[#6r4:2]-;!@[!#1:3],792.3714309082031,116.88915270068689,-1
[!#1:1]-[#6r4:2]-;!@[#1:3],377.28873333740233,112.35498626168729,-1
[*:1]~[#6X3:2]~[*:3],485.57076953125,121.92782423254032,-1
[#1:1]-[#6X3:2]~[*:3],281.2767993774414,119.04243813842511,-1
[#1:1]-[#6X3:2]-[#1:3],224.371708404541,117.94066032341036,-1
[*;r6:1]~;@[*;r5:2]~;@[*;r5;x2:3],646.0236198730469,126.79608254460193,-1
"[*;r6:1]~;@[*;r5;x4,*;r5;X4:2]~;@[*;r5;x2:3]",912.6134211425782,111.7663127476914,-1
[*:1]~;!@[*;X3;r5:2]~;@[*;r5:3],336.50683154296877,125.1017994794669,-1
[#8X1:1]~[#6X3:2]~[#8:3],531.5044000854492,122.29129957941171,-1
[*:1]~[#6X2:2]~[*:3],411.4745274658203,180.00000500895632,-1
[*:1]~[#7X2:2]~[*:3],313.3600275268555,180.00000500895632,-1
"[*:1]~[#7X4,#7X3,#7X2-1:2]~[*:3]",583.3788560791016,110.42956276484986,-1
"[*:1]@-[r!r6;#7X4,#7X3,#7X2-1:2]@-[*:3]",870.7938508300782,107.67664818968706,-1
"[#1:1]-[#7X4,#7X3,#7X2-1:2]-[*:3]",669.8765568847657,110.32650887065272,-1
"[*:1]~[#7X3$(*~[#6X3,#6X2,#7X2+0]):2]~[*:3]",560.8821311035157,118.7778639307355,-1
"[#1:1]-[#7X3$(*~[#6X3,#6X2,#7X2+0]):2]-[*:3]",420.0589225463867,115.95886727535282,-1
[*:1]~[#7X2+0:2]~[*:3],1032.7063385009767,119.9756605451023,-1
[*:1]~[#7X2+0:2]~[#6X2:3](~[#16X1]),579.7746761474609,143.4861961966617,-1
[#1:1]-[#7X2+0:2]~[*:3],572.5089854736328,112.08157378921167,-1
"[#6,#7,#8:1]-[#7X3:2](~[#8X1])~[#8X1:3]",579.9943591308594,117.95619217358296,-1
[#8X1:1]~[#7X3:2]~[#8X1:3],601.2787736816407,124.79206406098517,-1
[*:1]~[#7X2:2]~[#7X1:3],514.1925063476563,180.00000500895632,-1
[*:1]-[#8:2]-[*:3],730.8974158935547,112.85872637335407,-1
"[#6X3,#7:1]~;@[#8;r:2]~;@[#6X3,#7:3]",1349.7577871093752,117.23803876349115,-1
[*:1]-[#8X2+1:2]=[*:3],1223.18872265625,123.69890594470297,-1
[*:1]~[#16X4:2]~[*:3],863.5861293945313,118.509437496354,-1
"[*:1]-[#16X4,#16X3+0:2]~[*:3]",580.7874140625,106.75175861379729,-1
"[*:1]~[#16X3$(*~[#8X1,#7X2]):2]~[*:3]",886.9398797607422,105.09431075885614,-1
"[*:1]~[#16X2,#16X3+1:2]~[*:3]",1295.951991455078,101.58986363912766,-1
[*:1]=[#16X2:2]=[*:3],585.76,180.0,-1
[*:1]=[#16X2:2]=[#8:3],1114.0343068847656,112.27658935039388,-1
[#6X3:1]-[#16X2:2]-[#6X3:3],1447.4441254882813,100.45023974592186,-1
[#6X3:1]-[#16X2:2]-[#6X4:3],1417.6441064453124,102.44572732326529,-1
[#6X3:1]-[#16X2:2]-[#1:3],721.1838656005859,94.764619526074,-1
[*:1]~[#15:2]~[*:3],695.4554194335938,108.53110485485566,-1
[*;r5:1]1@[*;r5:2]@[*;r5:3]@[*;r5]@[*;r5]1,803.7025655517579,109.35569993297295,-1
[*;r5:1]1@[#16;r5:2]@[*;r5:3]@[*;r5]@[*;r5]1,1379.545548339844,92.23087889118773,-1
[*;r3:1]1~;@[*;r3:2]~;@[*;r3:3]1,405.26019958496096,61.18945862304232,-1
[*;r3:1]~;@[*;r3:2]~;!@[*:3],460.89770825195313,118.34148314466339,-1
[*:1]~;!@[*;r3:2]~;!@[*:3],595.4240083007812,115.12548857396288,-1
[#1:1]-[*;r3:2]~;!@[*:3],229.86422988891601,112.95159645549873,-1
