smirks,k_kJ_mol_per_rad2,angle_deg,cluster
[*:1]~[#6X4:2]-[*:3],417.1119720458984,109.65055236925323,-1
[#15:1]~[#6X4:2]-[#15:3],1061.7495653076173,120.81877909624868,-1
[#1:1]-[#6X4:2]-[#1:3],164.98310162353516,108.00500270384624,-1
[*:1]~[#6X3:2]~[*:3],411.40592840576176,122.8898153960016,-1
[*:1]~[#6X3:2](=[#8])-[#8X2:3],656.2029031982422,115.73166786280152,-1
[#1:1]-[#6X3:2]~[*:3],202.28180554199218,117.82596778686751,-1
[#1:1]-[#6X3:2](=[#8])-[#7:3],311.0558141479492,111.51176525770336,-1
[#1:1]-[#6X3:2]-[#1:3],291.24651879882816,112.06684107117196,-1
"[*;r6:1]~;@[*;r5;x4,*;r5;X4:2]~;@[*;r5;x2:3]",940.6139068503704,110.8116806056,1
[*:1]~;!@[*;X3;r5:2]~;@[*;r5:3],222.15444888305666,126.56094645223507,-1
[#8X1:1]~[#6X3:2]~[#8:3],480.75526873779296,127.2937437879074,-1
[#8X1:1]~[#6X3:2]~[#8X1:3],475.1828799438477,129.41476341200647,-1
[*:1]~[#6X2:2]~[*:3],501.4999245605469,180.00000500895632,-1
[*:1]~[#7X2:2]~[*:3],234.7404132385254,180.00000500895632,-1
"[*:1]~[#7X4,#7X3,#7X2-1:2]~[*:3]",551.4717701416016,111.02913726076109,-1
[*:1]~[#7X2-1:2]~[*:3],1206.5103088378908,119.02831330722152,-1
"[#1:1]-[#7X4,#7X3,#7X2-1:2]-[*:3]",777.7993178710938,110.43664567101916,1
"[*:1]~[#7X3$(*~[#6X3,#6X2,#7X2+0]):2]~[*:3]",406.7865526123047,119.10478410516899,0
"[#1:1]-[#7X3$(*~[#6X3,#6X2,#7X2+0]):2]-[*:3]",538.1584450683594,117.15139098368036,0
[*:1]~[#7X2+0:2]~[*:3],686.0271186523438,118.18565920893872,-1
[*:1]~[#7X2+0:2]~[#6X2:3](~[#16X1]),583.3406142578125,143.46533679893648,-1
[#1:1]-[#7X2+0:2]~[*:3],869.0859289550782,108.40194597765071,1
[#1:1]-[#7X2:2]~[#16X4:3],413.21733941650393,109.80814532397294,-1
"[#6,#7,#8:1]-[#7X3:2](~[#8X1])~[#8X1:3]",420.53716876220705,117.90641375491191,0
[#8X1:1]~[#7X3:2]~[#8X1:3],767.7882602539063,125.95378361615596,-1
[*:1]~[#7X2:2]~[#7X1:3],530.1717141113281,180.00000500895632,-1
[*:1]-[#8:2]-[*:3],1000.4382216796876,115.44575614414478,-1
[#1:1]-[#8:2]-[*:3],871.6626232910156,108.67761241255242,1
"[#6X3,#7:1]~;@[#8;r:2]~;@[#6X3,#7:3]",1308.8240991210937,116.8929093047304,-1
[*:1]-[#8X2+1:2]=[*:3],1218.6511613769533,125.44522139093515,-1
[*:1]~[#16X4:2]~[*:3],471.8562883911133,118.45304745456637,0
"[*:1]-[#16X4,#16X3+0:2]~[*:3]",473.60679339599614,108.43807767836007,-1
"[#8X1:1]~[#16X4:2](~[#8X1,#7X2])~[#8X1:3]",1055.9717943115236,114.13913412573217,-1
"[*:1]~[#16X3$(*~[#8X1,#7X2]):2]~[*:3]",1010.3939914550782,109.94530235269596,1
"[*:1]~[#16X3:2](~[#8X1,#7X2])~[*:3]",1207.58861328125,95.03491060209892,-1
"[*:1]~[#16X2,#16X3+1:2]~[*:3]",1012.1365799560547,102.13369013103325,-1
[*:1]=[#16X2:2]=[*:3],585.76,180.0,-1
[*:1]=[#16X2:2]=[#8:3],1030.3272375488282,105.42083478231777,1
[#6X3:1]-[#16X2:2]-[#6X3:3],1516.72655859375,102.80466059433863,-1
[#6X3:1]-[#16X2:2]-[#6X4:3],1220.0267177734374,101.52899299324451,-1
[#6X3:1]-[#16X2:2]-[#1:3],851.3563438720704,93.75621722720248,-1
[*:1]~[#15:2]~[*:3],655.7383193359375,109.08961625347676,0
[*;r5:1]1@[*;r5:2]@[*;r5:3]@[*;r5]@[*;r5]~1,777.1037508544922,110.13134304530877,1
[*;r5:1]1@[#16;r5:2]@[*;r5:3]@[*;r5]@[*;r5]~1,1445.8463962402345,96.64796905762415,-1
[#6r4:1]1-;@[#6r4:2]-;@[#6r4:3]~[*]~1,593.8933304284393,87.45923658469,-1
[!#1:1]-[#6r4:2]-;!@[!#1:3],573.7646451416016,113.49981475904063,0
[!#1:1]-[#6r4:2]-;!@[#1:3],166.37125100708008,112.29884893689895,-1
"[*:1]@-[r5;#7X4,#7X3,#7X2-1:2]@-[*:3]",466.4917078247071,115.67234083967078,0
[*;r6:1]~;@[*;r5:2]~;@[*;r5;x2:3],158.85639794921875,120.69330852119553,-1
[*;r3:1]1~;@[*;r3:2]~;@[*;r3:3]~1,90.00078570556641,63.10051140186604,-1
[*;r3:1]~;@[*;r3:2]~;!@[*:3],339.30544335937503,117.13461603907881,-1
[*:1]~;!@[*;r3:2]~;!@[*:3],332.52358514404295,115.48270746755455,0
[#1:1]-[*;r3:2]~;!@[*:3],142.15849612426757,115.80516069827085,-1
[*;r3:1]~;@[#6X3;r3:2]~;!@[*:3],265.98233728027344,148.02847690039528,-1
[r4:1]1-;@[r4:2]-;@[r4:3]~[*]~1,1235.6094619140626,93.0644351774961,-1
