smirks,k_kJ_mol_per_A2,length_A,cluster
[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]=[#7X2;!r3;!r4;!r5;!r6;!r7;!r8:2],4819.938376953125,1.2708954811096191,17
[#16X4;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#6X3;r6:2],1213.8426513671875,1.8238359689712524,26
[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:2],2017.1283874511719,1.494378685951233,55
[#16X2;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#6X3;r6:2],2104.1582177734376,1.7912118434906006,19
[#6X2;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#6X3;r6:2],3136.683817382813,1.435915470123291,-1
[#17X1;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],1549.470367919922,1.7778795957565308,-1
[#16X4;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],2432.902278808594,1.7037725448608398,15
[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],5160.18562890625,1.208315134048462,11
[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:1]=[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],5176.21476171875,1.2080577611923218,11
[#6X3;r6:1]-[#7X3;r6:2],2938.6177416992186,1.404788613319397,-1
[#15X4;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],3869.0853051757813,1.6358357667922974,-1
[#6X2;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],2736.6541923828127,1.4750064611434937,28
[#6X4;r5:1]-[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],2505.58880859375,1.4153372049331665,54
[#16X4;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],1312.2077661132812,1.8528944253921509,34
[#6X3;r6:1]-[#6X4;r6:2],2182.9979140625,1.496145248413086,55
[#6X2;!r3;!r4;!r5;!r6;!r7;!r8:1]#[#6X2;!r3;!r4;!r5;!r6;!r7;!r8:2],9443.247140625,1.2016593217849731,4
[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#7X3;r5:2],2725.33665625,1.3799266815185547,45
