smirks,k_kJ_mol_per_rad2,angle_deg,cluster
[*:1]~[#6X4:2]-[*:3],434.1353328809799,109.53063014018007,0
[#15:1]~[#6X4:2]-[#15:3],943.3991808393891,121.80333632696481,-1
[#1:1]-[#6X4:2]-[#1:3],292.42803450550525,108.98203381957192,0
[*:1]~[#6X3:2]~[*:3],513.2887236049298,113.64838891714335,0
[*:1]~[#6X3:2](=[#8])-[#8X2:3],389.82331207188696,95.35493825528651,-1
[#1:1]-[#6X3:2]~[*:3],269.8854144497011,106.29820423725019,-1
[#1:1]-[#6X3:2](=[#8])-[#7:3],324.00681755972397,94.95736652632877,-1
[#1:1]-[#6X3:2]-[#1:3],197.65503472556577,103.05481359326691,-1
"[*;r6:1]~;@[*;r5;x4,*;r5;X4:2]~;@[*;r5;x2:3]",940.6139068503704,110.8116806056,0
[*:1]~;!@[*;X3;r5:2]~;@[*;r5:3],377.64723869591376,108.22532418005842,0
[#8X1:1]~[#6X3:2]~[#8:3],777.0443824932717,115.38248387352107,0
[#8X1:1]~[#6X3:2]~[#8X1:3],710.710446445686,130.62024678099542,-1
[*:1]~[#6X2:2]~[*:3],209.7740283953612,179.99999998803284,-1
[*:1]~[#7X2:2]~[*:3],144.11957301095242,179.99999998258113,-1
"[*:1]~[#7X4,#7X3,#7X2-1:2]~[*:3]",474.1175635658859,107.76970373730033,0
[*:1]~[#7X2-1:2]~[*:3],820.1861004206283,113.72077976421413,0
"[#1:1]-[#7X4,#7X3,#7X2-1:2]-[*:3]",428.57662063774694,106.71126139483336,0
"[*:1]~[#7X3$(*~[#6X3,#6X2,#7X2+0]):2]~[*:3]",477.9025756415992,111.54270817471719,0
"[#1:1]-[#7X3$(*~[#6X3,#6X2,#7X2+0]):2]-[*:3]",365.86703253944336,107.58485357229823,0
[*:1]~[#7X2+0:2]~[*:3],645.6294556242902,110.58566401157849,0
[*:1]~[#7X2+0:2]~[#6X2:3](~[#16X1]),8.368e-08,131.7326712324,-1
[#1:1]-[#7X2+0:2]~[*:3],397.3934026540845,107.38385965319081,0
[#1:1]-[#7X2:2]~[#16X4:3],393.15236322285455,102.9673871194343,0
"[#6,#7,#8:1]-[#7X3:2](~[#8X1])~[#8X1:3]",489.0339937056095,149.24782315801164,-1
[#8X1:1]~[#7X3:2]~[#8X1:3],881.624943918972,142.6993234724247,-1
[*:1]~[#7X2:2]~[#7X1:3],285.9084903140025,179.9999999912196,-1
[*:1]-[#8:2]-[*:3],497.45147996484786,109.93038180574632,0
[#1:1]-[#8:2]-[*:3],613.575287998036,108.14361097976683,0
"[#6X3,#7:1]~;@[#8;r:2]~;@[#6X3,#7:3]",456.8922255232969,110.30474763024833,0
[*:1]-[#8X2+1:2]=[*:3],476.9990520660318,121.02925903042546,-1
[*:1]~[#16X4:2]~[*:3],836.5153833168398,144.76827769058437,-1
"[*:1]-[#16X4,#16X3+0:2]~[*:3]",548.5357877486435,142.66960658360838,-1
"[#8X1:1]~[#16X4:2](~[#8X1,#7X2])~[#8X1:3]",681.3069908423518,151.78112796205997,-1
"[*:1]~[#16X3$(*~[#8X1,#7X2]):2]~[*:3]",982.8397397238871,107.2083874708013,-1
"[*:1]~[#16X3:2](~[#8X1,#7X2])~[*:3]",829.1182453964831,99.33640642682842,1
"[*:1]~[#16X2,#16X3+1:2]~[*:3]",664.3626852551457,98.53602999309842,1
[*:1]=[#16X2:2]=[*:3],585.76,180.0,-1
[*:1]=[#16X2:2]=[#8:3],955.2380916167834,112.7969561959523,0
[#6X3:1]-[#16X2:2]-[#6X3:3],681.3059911885281,98.02570871052502,1
[#6X3:1]-[#16X2:2]-[#6X4:3],625.4755566830542,96.78935251824292,1
[#6X3:1]-[#16X2:2]-[#1:3],533.4410281827513,96.68973799181074,1
[*:1]~[#15:2]~[*:3],981.9006257206614,126.94044564014372,-1
[*;r5:1]1@[*;r5:2]@[*;r5:3]@[*;r5]@[*;r5]~1,686.4010303153973,110.28214574246853,0
[*;r5:1]1@[#16;r5:2]@[*;r5:3]@[*;r5]@[*;r5]~1,676.7088782897268,101.23180460274892,1
[#6r4:1]1-;@[#6r4:2]-;@[#6r4:3]~[*]~1,593.8933304284393,87.45923658469,-1
[!#1:1]-[#6r4:2]-;!@[!#1:3],500.1262462614777,113.88828454938799,0
[!#1:1]-[#6r4:2]-;!@[#1:3],373.1166314382358,113.12179767361913,0
"[*:1]@-[r5;#7X4,#7X3,#7X2-1:2]@-[*:3]",433.828578507675,113.04997842489729,0
[*;r6:1]~;@[*;r5:2]~;@[*;r5;x2:3],427.64274267362146,110.86160903929799,0
[*;r3:1]1~;@[*;r3:2]~;@[*;r3:3]~1,129.53176362522177,63.899759767819155,-1
[*;r3:1]~;@[*;r3:2]~;!@[*:3],374.6878020164354,114.24638883103499,0
[*:1]~;!@[*;r3:2]~;!@[*:3],451.7164691941668,109.84395598129322,0
[#1:1]-[*;r3:2]~;!@[*:3],146.73002001814004,115.8811844935562,-1
[*;r3:1]~;@[#6X3;r3:2]~;!@[*:3],501.1873246233087,124.75085783124008,-1
[r4:1]1-;@[r4:2]-;@[r4:3]~[*]~1,859.2860686391514,100.59872601340017,1
