simple_id,param_id,smirks,equilibrium_value
a47,specificity=3 index=14 count=54,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r6:3],N/A
a48,specificity=3 index=15 count=54,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#16X3;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a49,specificity=3 index=16 count=53,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#15X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r6:3],N/A
a50,specificity=3 index=17 count=50,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r5:3],N/A
a51,specificity=3 index=18 count=48,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X2;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a52,specificity=3 index=19 count=46,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r7:3],N/A
a53,specificity=3 index=20 count=46,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r4:3],N/A
a54,specificity=3 index=21 count=43,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r5:3],N/A
a55,specificity=3 index=22 count=43,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#15X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r5:3],N/A
a56,specificity=3 index=23 count=41,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r4:3],N/A
a57,specificity=3 index=24 count=40,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r4:2]~[!#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a58,specificity=3 index=25 count=40,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a59,specificity=3 index=26 count=39,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r4:2]~[#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a60,specificity=3 index=27 count=38,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r6:3],N/A
a61,specificity=3 index=28 count=37,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r5:3],N/A
a62,specificity=3 index=29 count=37,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#16X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a63,specificity=3 index=30 count=35,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2]~[!#1;r3:3],N/A
