simple_id,param_id,smirks,equilibrium_value
b0,specificity=0 index=0 count=152763,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b1,specificity=0 index=1 count=92961,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r6:2],N/A
b2,specificity=0 index=2 count=46371,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r6:2],N/A
b3,specificity=0 index=3 count=23716,[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b4,specificity=0 index=4 count=22533,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r5:2],N/A
b5,specificity=0 index=5 count=17994,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b6,specificity=0 index=6 count=13538,[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b7,specificity=0 index=7 count=13015,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r5:2],N/A
b8,specificity=0 index=8 count=10374,[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b9,specificity=0 index=9 count=9631,[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b10,specificity=0 index=10 count=9329,[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b11,specificity=0 index=11 count=8946,[#6X3;r6:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b12,specificity=0 index=12 count=8790,[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b13,specificity=0 index=13 count=8441,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b14,specificity=0 index=14 count=6219,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b15,specificity=0 index=15 count=6091,[#6X3;r6:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b16,specificity=0 index=16 count=6076,[#6X3;r6:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b17,specificity=0 index=17 count=6012,[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#9X1;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b18,specificity=0 index=18 count=5007,[#6X3;r6:1]~[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b19,specificity=0 index=19 count=4672,[#6X3;r5:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b20,specificity=0 index=20 count=4496,[#17X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r6:2],N/A
b21,specificity=0 index=21 count=4444,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r3:2],N/A
b22,specificity=0 index=22 count=4267,[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r6:2],N/A
b23,specificity=0 index=23 count=4133,[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b24,specificity=0 index=24 count=3890,[#16X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b25,specificity=0 index=25 count=3835,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;r5:2],N/A
b26,specificity=0 index=26 count=3414,[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b27,specificity=0 index=27 count=3237,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r7:2],N/A
b28,specificity=0 index=28 count=3120,[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r6:2],N/A
b29,specificity=0 index=29 count=3078,[#6X3;r6:1]~[#9X1;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b30,specificity=0 index=30 count=3064,[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;r5:2],N/A
b31,specificity=0 index=31 count=2959,[#6X3;r5:1]~[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b32,specificity=0 index=32 count=2820,[#6X3;r5:1]~[#6X3;r6:2],N/A
b33,specificity=0 index=33 count=2754,[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r5:2],N/A
b34,specificity=0 index=34 count=2415,[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r5:2],N/A
b35,specificity=0 index=35 count=2363,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;r6:2],N/A
b36,specificity=0 index=36 count=2227,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r4:2],N/A
b37,specificity=0 index=37 count=2209,[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;r6:2],N/A
b38,specificity=0 index=38 count=2120,[#16X2;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b39,specificity=0 index=39 count=1833,[#6X2;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X1;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b40,specificity=0 index=40 count=1798,[#6X3;r5:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b41,specificity=0 index=41 count=1754,[#6X3;r6:1]~[#6X3;r6:2],N/A
b42,specificity=0 index=42 count=1732,[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b43,specificity=0 index=43 count=1473,[#6X3;r6:1]~[#7X3;r5:2],N/A
