simple_id,param_id,smirks,equilibrium_value
a0,a1,[*:1]~[#6X4:2]-[*:3],120.81877909624868
a1,a1a,[#15:1]~[#6X4:2]-[#15:3],N/A
a2,a2,[#1:1]-[#6X4:2]-[#1:3],108.00500270384624
a3,a10,[*:1]~[#6X3:2]~[*:3],127.2937437879074
a4,a10a,[*:1]~[#6X3:2](=[#8])-[#8X2:3],N/A
a5,a11,[#1:1]-[#6X3:2]~[*:3],129.41476341200647
a6,a11a,[#1:1]-[#6X3:2](=[#8])-[#7:3],N/A
a7,a12,[#1:1]-[#6X3:2]-[#1:3],180.00000500895632
a8,a13a,"[*;r6:1]~;@[*;r5;x4,*;r5;X4:2]~;@[*;r5;x2:3]",N/A
a9,a14,[*:1]~;!@[*;X3;r5:2]~;@[*;r5:3],111.02913726076109
a10,a15,[#8X1:1]~[#6X3:2]~[#8:3],119.02831330722152
a11,a15a,[#8X1:1]~[#6X3:2]~[#8X1:3],N/A
a12,a16,[*:1]~[#6X2:2]~[*:3],110.43664567101916
a13,a17,[*:1]~[#7X2:2]~[*:3],119.10478410516899
a14,a18,"[*:1]~[#7X4,#7X3,#7X2-1:2]~[*:3]",117.15139098368036
a15,a18b,[*:1]~[#7X2-1:2]~[*:3],N/A
a16,a19,"[#1:1]-[#7X4,#7X3,#7X2-1:2]-[*:3]",118.18565920893872
a17,a20,"[*:1]~[#7X3$(*~[#6X3,#6X2,#7X2+0]):2]~[*:3]",143.46533679893648
a18,a21,"[#1:1]-[#7X3$(*~[#6X3,#6X2,#7X2+0]):2]-[*:3]",108.40194597765071
a19,a22,[*:1]~[#7X2+0:2]~[*:3],109.80814532397294
a20,a23,[*:1]~[#7X2+0:2]~[#6X2:3](~[#16X1]),117.90641375491191
a21,a24,[#1:1]-[#7X2+0:2]~[*:3],125.95378361615596
a22,a24a,[#1:1]-[#7X2:2]~[#16X4:3],N/A
a23,a25,"[#6,#7,#8:1]-[#7X3:2](~[#8X1])~[#8X1:3]",180.00000500895632
a24,a26,[#8X1:1]~[#7X3:2]~[#8X1:3],115.44575614414478
a25,a27,[*:1]~[#7X2:2]~[#7X1:3],108.67761241255242
a26,a28,[*:1]-[#8:2]-[*:3],116.8929093047304
a27,a28a,[#1:1]-[#8:2]-[*:3],N/A
a28,a29,"[#6X3,#7:1]~;@[#8;r:2]~;@[#6X3,#7:3]",125.44522139093515
a29,a30,[*:1]-[#8X2+1:2]=[*:3],118.45304745456637
a30,a31,[*:1]~[#16X4:2]~[*:3],108.43807767836007
a31,a32,"[*:1]-[#16X4,#16X3+0:2]~[*:3]",114.13913412573217
a32,a42,"[#8X1:1]~[#16X4:2](~[#8X1,#7X2])~[#8X1:3]",110.13134304530877
a33,a33,"[*:1]~[#16X3$(*~[#8X1,#7X2]):2]~[*:3]",109.94530235269596
a34,a33a,"[*:1]~[#16X3:2](~[#8X1,#7X2])~[*:3]",N/A
a35,a34,"[*:1]~[#16X2,#16X3+1:2]~[*:3]",95.03491060209892
a36,a35,[*:1]=[#16X2:2]=[*:3],102.13369013103325
a37,a36,[*:1]=[#16X2:2]=[#8:3],180.0
a38,a37,[#6X3:1]-[#16X2:2]-[#6X3:3],105.42083478231777
a39,a38,[#6X3:1]-[#16X2:2]-[#6X4:3],102.80466059433863
a40,a39,[#6X3:1]-[#16X2:2]-[#1:3],101.52899299324451
a41,a40,[*:1]~[#15:2]~[*:3],93.75621722720248
a42,a41,[*;r5:1]1@[*;r5:2]@[*;r5:3]@[*;r5]@[*;r5]~1,109.08961625347676
a43,a41a,[*;r5:1]1@[#16;r5:2]@[*;r5:3]@[*;r5]@[*;r5]~1,N/A
a44,a7,[#6r4:1]1-;@[#6r4:2]-;@[#6r4:3]~[*]~1,112.06684107117196
a45,a8,[!#1:1]-[#6r4:2]-;!@[!#1:3],110.8116806056
a46,a9,[!#1:1]-[#6r4:2]-;!@[#1:3],126.56094645223507
a47,a18a,"[*:1]@-[r5;#7X4,#7X3,#7X2-1:2]@-[*:3]",N/A
a48,a13,[*;r6:1]~;@[*;r5:2]~;@[*;r5;x2:3],180.00000500895632
a49,a3,[*;r3:1]1~;@[*;r3:2]~;@[*;r3:3]~1,122.8898153960016
a50,a4,[*;r3:1]~;@[*;r3:2]~;!@[*:3],115.73166786280152
a51,a5,[*:1]~;!@[*;r3:2]~;!@[*:3],117.82596778686751
a52,a6,[#1:1]-[*;r3:2]~;!@[*:3],111.51176525770336
a53,a4a,[*;r3:1]~;@[#6X3;r3:2]~;!@[*:3],N/A
a54,a7a,[r4:1]1-;@[r4:2]-;@[r4:3]~[*]~1,N/A
