smirks,k_kJ_mol_per_A2,length_A,cluster
[#6X4:1]-[#6X4:2],2064.0191169433597,1.5192269086837769,2
[#6X4:1]-[#6X3:2],2400.7490151367188,1.5045745372772217,2
[#6X4:1]-[#6X3:2]=[#8X1+0],1928.6389836425783,1.5276882648468018,2
[#6X3:1]-[#6X3:2],2043.2476152343752,1.4611459970474243,2
[#6X3:1]:[#6X3:2],3539.5756416015624,1.377601146697998,2
[#6X3:1]=[#6X3:2],4565.810940429687,1.3432116508483887,2
[#6:1]-[#7:2],2425.339974609375,1.4542527198791504,2
[#6X3:1]-[#7X3:2],3499.7880590820314,1.3876711130142212,2
[#6X3:1]-[#7X3:2](~[#8X1])~[#8X1],2751.117645019531,1.4753293991088867,2
[#6X4:1]-[#7X3:2]-[#6X3]=[#8X1+0],2523.5881293945313,1.4627115726470947,2
[#6X3:1](=[#8X1+0])-[#7X3:2],3252.6884350585938,1.374863624572754,2
[#6X3:1]-[#7X2:2],3121.706302734375,1.3759812116622925,2
"[#6X3:1]:[#7X2,#7X3+1:2]",4422.363378906251,1.3286182880401611,2
"[#6X3:1]=[#7X2,#7X3+1:2]",4708.3575527343755,1.291974425315857,2
[#6X3:1](~!@[#7X3])(~!@[#7X3])~!@[#7X3:2],4822.375638671875,1.3508579730987549,2
[#6:1]-[#8:2],2467.1646523437503,1.4105148315429688,2
[#6X3:1]-[#8X1-1:2],4303.0090585937505,1.206650733947754,2
[#6X4:1]-[#8X2H0:2],2385.8200209960937,1.4371998310089111,2
[#6X3:1]-[#8X2:2],2908.1256669921877,1.375759243965149,2
[#6X3:1]-[#8X2H1:2],3433.32543359375,1.362289547920227,2
[#6X3a:1]-[#8X2H0:2],3430.039573730469,1.3748964071273804,2
[#6X3:1](=[#8X1])-[#8X2H0:2],3032.7924721679688,1.3543624877929688,2
"[#6:1]=[#8X1+0,#8X2+1:2]",6688.20571875,1.2082509994506836,2
[#6X3:1](~[#8X1])~[#8X1:2],5323.126176757813,1.242368459701538,2
[#6X3:1]~[#8X2+1:2]~[#6X3],2172.1428549804687,1.36147141456604,2
[#6X2:1]-[#6:2],3057.933245605469,1.4341442584991455,2
[#6X2:1]-[#6X4:2],2645.811288574219,1.468526005744934,2
[#6X2:1]=[#6X3:2],5192.72603515625,1.3076237440109253,2
[#6:1]#[#7:2],10709.597664062501,1.1529408693313599,2
[#6X2:1]#[#6X2:2],9413.83043359375,1.2036088705062866,2
[#6X2:1]-[#8X2:2],3247.3629262695313,1.3008044958114624,2
[#6X2:1]-[#7:2],4147.105261230469,1.3524640798568726,2
[#6X2:1]=[#7:2],7974.524729492187,1.1899998188018799,2
[#16:1]=[#6:2],2969.8555,1.6529737710952759,-1
[#6X2:1]=[#16:2],3104.3735004882815,1.585673213005066,-1
[#7:1]-[#7:2],3035.857946777344,1.4065085649490356,2
[#7X3:1]-[#7X2:2],2943.7198007812503,1.3685437440872192,2
[#7X2:1]-[#7X2:2],2890.622276855469,1.3762836456298828,2
[#7:1]:[#7:2],2783.269376464844,1.2921744585037231,2
[#7:1]=[#7:2],4347.621877929688,1.264793872833252,2
[#7+1:1]=[#7-1:2],5589.02111328125,1.0957701206207275,0
[#7:1]#[#7:2],8885.891556640625,1.1097584962844849,-1
[#7:1]-[#8X2:2],2199.0204072265624,1.419064998626709,2
[#7:1]~[#8X1:2],5205.720337890625,1.222829818725586,2
"[#8X2:1]-[#8X2,#8X1-1:2]",1867.5766906738281,1.4487416744232178,2
[#16:1]-[#6:2],1221.886202392578,1.6448140144348145,-1
[#16:1]-[#1:2],2419.915126464844,1.3466379642486572,2
[#16:1]-[#16:2],1462.9826904296876,2.079557180404663,1
[#16:1]-[#9:2],1230.5943566894532,1.726877212524414,-1
[#16:1]-[#17:2],1014.6217237548829,2.0692312717437744,1
[#16:1]-[#35:2],1014.6337261962891,2.196519374847412,-1
[#16:1]-[#53:2],627.6,2.6,-1
"[#16X2,#16X1-1,#16X3+1:1]-[#6X4:2]",1488.2169296875002,1.8368453979492188,3
"[#16X2,#16X1-1,#16X3+1:1]-[#6X3:2]",1838.6980505371093,1.7778964042663574,3
"[#16X2,#16X1-1:1]-[#7:2]",1749.8286545410158,1.700607419013977,4
[#16X2:1]-[#8X2:2],2061.7463142089846,1.6749359369277954,4
"[#16X2:1]=[#8X1,#7X2:2]",4124.212774902344,1.4682973623275757,2
"[#16X4,#16X3!+1:1]-[#6:2]",1388.3125656738282,1.8428499698638916,3
"[#16X4,#16X3:1]~[#7:2]",2280.0307578125003,1.709566593170166,4
"[#16X4,#16X3:1]~[#7+1:2]",1250.4631215820314,1.861940622329712,3
"[#16X4,#16X3:1]~[#7X2:2]",957.9104434814453,1.6202012300491333,-1
"[#16X4,#16X3:1]-[#8X2:2]",1755.07359375,1.6666147708892822,4
"[#16X4,#16X3:1]~[#8X1:2]",4712.973129882813,1.438765525817871,2
[#15:1]-[#1:2],1937.0469492187501,1.4086254835128784,2
[#15:1]~[#6:2],1495.2536801757813,1.8560594320297241,3
[#15:1]-[#7:2],2108.0939970703125,1.7185695171356201,4
"[#7,#8]-[#15X4:1]-[#7:2]",3146.907599121094,1.7241287231445312,-1
[#15:1]=[#7:2],3516.125169433594,1.5528993606567383,2
[#15:1]~[#8X2:2],3599.9251938476564,1.6431522369384766,-1
[#15:1]~[#8X1:2],5486.297580078125,1.4739282131195068,-1
[#16:1]-[#15:2],1534.3091137695312,2.142122268676758,-1
[#15:1]=[#16X1:2],2342.2514140625003,1.8937619924545288,-1
[#6:1]-[#9:2],3336.902671386719,1.3519556522369385,2
[#6X4:1]-[#9:2],2925.096353027344,1.3437696695327759,2
[#6:1]-[#17:2],2004.209674560547,1.7432105541229248,4
[#6X4:1]-[#17:2],1087.3956542968751,1.762130856513977,-1
[#6:1]-[#35:2],1643.7761037597656,1.9073877334594727,3
[#6X4:1]-[#35:2],1111.9424345703126,1.9496210813522339,1
[#6:1]-[#53:2],656.7086018066407,2.025451183319092,-1
[#6X4:1]-[#53:2],911.9677153320313,2.1513850688934326,1
[#7:1]-[#9:2],2103.6087868652344,1.373956561088562,2
[#7:1]-[#17:2],1069.1835455322266,1.661028265953064,-1
[#7:1]-[#35:2],796.4298521728516,1.8492472171783447,-1
[#7:1]-[#53:2],958.4615981445313,2.007359743118286,1
[#15:1]-[#9:2],1564.375867919922,1.6087195873260498,-1
[#15:1]-[#17:2],1108.0256804199219,2.078383207321167,1
[#15:1]-[#35:2],711.8337722167969,2.27066969871521,-1
[#15:1]-[#53:2],585.76,2.6,-1
[#6X4:1]-[#1:2],3114.3595317382815,1.0920497179031372,-1
[#6X3:1]-[#1:2],3364.607370605469,1.084641695022583,0
[#6X2:1]-[#1:2],3557.339765625,1.0674787759780884,0
[#7:1]-[#1:2],4274.8449467773435,1.0111197233200073,0
[#8:1]-[#1:2],4627.460076171875,0.9680508971214294,-1
